uid,Дата,1. Мои ежедневные обязанности соответствуют моим ожиданиям,"2. Я горжусь тем, что работаю в своей компании",3.Существующие технологии помогают мне эффективно выполнять работу,4. Решения принимаются оперативно,5. Отделы сотрудничают друг с другом эффективно,6. Внутри подразделения сотрудники оказывают друг другу необходимую поддержку,7. Мне обеспечили безопасные условия труда (рабочее место и оборудование),8. В коллективе я чувствую себя комфортно и безопасно,9. Принятие рискованных решений поощряется,10. Творческая инициатива вознаграждается,11. Я получаю достаточно необходимой для работы информации,12. Я могу свободно высказывать свое мнение,13. Обязанности между сотрудниками компании и/или отдела распределены справедливо,14. Вознаграждение за труд соответствует обязанностям,15. Мои коллеги придерживаются этических норм поведения,16. Мой начальник является образцом профессиональной этики,17. Как долго Вы планируете продолжать свою карьеру в компании?,18. Порекомендовали бы Вы своим друзьям работать в компании?,"19. Оцените нашу компанию как работодателя (от «1» - минимальная оценка, «5» - максимальная оценка)"
u18,01.02.2012 11:16,Не согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Частично согласен,Согласен,Не совсем согласен,Не согласен,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,более 5 лет,возможно да,3
u1804,16.02.2012 16:28,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,возможно да,4
u1805,20.02.2012 11:18,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1806,17.02.2012 14:57,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,менее 1 года,конечно да,5
u1808,09.02.2012 10:10,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1809,01.02.2012 13:22,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,конечно да,5
u1812,01.02.2012 11:08,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,более 5 лет,возможно да,4
u1815,18.02.2012 13:09,Согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,более 5 лет,конечно да,5
u1819,02.02.2012 1:51,Согласен,Не совсем согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Не согласен,Согласен,1-2 года,конечно да,4
u182,16.02.2012 16:35,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,более 5 лет,возможно да,3
u1821,17.02.2012 10:51,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,возможно да,5
u1822,17.02.2012 15:16,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно нет,5
u1826,24.02.2012 10:18,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Не согласен,Частично согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Не совсем согласен,Не согласен,Частично согласен,Частично согласен,3-5 лет,возможно да,3
u1827,20.02.2012 19:17,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,5
u183,25.02.2012 16:47,Согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1838,17.02.2012 20:26,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u184,18.02.2012 11:14,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Согласен,3-5 лет,возможно да,3
u1854,01.02.2012 11:01,Согласен,Частично согласен,Согласен,Не совсем согласен,Не согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,более 5 лет,конечно да,5
u1859,28.02.2012 16:07,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1864,01.02.2012 15:35,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,более 5 лет,конечно да,5
u1873,17.02.2012 15:37,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,3
u1884,23.02.2012 20:17,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Частично согласен,Не согласен,Согласен,Согласен,Частично согласен,Не согласен,более 5 лет,конечно да,5
u189,20.02.2012 8:29,Не совсем согласен,Согласен,Не согласен,Не совсем согласен,Не согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Не совсем согласен,Согласен,Не совсем согласен,Не согласен,Согласен,Согласен,более 5 лет,не уверен,3
u19,16.02.2012 17:02,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,более 5 лет,возможно да,4
u192,20.02.2012 15:00,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,2-3 года,конечно да,5
u194,17.02.2012 19:03,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,не уверен,3
u198,20.02.2012 18:14,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не согласен,Не согласен,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,более 5 лет,конечно да,4
u199,16.02.2012 17:36,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,3
u202,16.02.2012 16:09,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,3-5 лет,конечно да,5
u204,10.02.2012 14:34,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u207,06.02.2012 10:38,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Не согласен,менее 1 года,не уверен,3
u208,17.02.2012 14:58,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u209,16.02.2012 16:14,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u21,01.02.2012 12:35,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,4
u211,20.02.2012 17:01,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u213,17.02.2012 18:56,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u214,16.02.2012 16:28,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,конечно да,4
u215,20.02.2012 15:18,Согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u219,06.02.2012 15:30,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Не совсем согласен,3-5 лет,не уверен,2
u220,27.02.2012 14:27,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u221,27.02.2012 10:31,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,5
u222,25.02.2012 14:47,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u223,01.02.2012 11:01,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,более 5 лет,конечно да,4
u226,13.02.2012 15:37,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u231,24.02.2012 20:08,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u233,17.02.2012 13:30,Согласен,Согласен,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Не согласен,Согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u238,20.02.2012 16:51,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Частично согласен,Частично согласен,Не согласен,Затрудняюсь ответить,Согласен,Не согласен,1-2 года,возможно да,4
u240,18.02.2012 18:01,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Не совсем согласен,Не согласен,менее 1 года,возможно нет,4
u244,22.02.2012 13:53,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,менее 1 года,возможно да,4
u25,29.02.2012 14:25,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,менее 1 года,не уверен,4
u256,02.02.2012 10:30,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,1-2 года,конечно да,4
u26,18.02.2012 8:41,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,1-2 года,конечно да,5
u261,16.02.2012 16:51,Не согласен,Частично согласен,Не совсем согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Не согласен,Не согласен,Частично согласен,Затрудняюсь ответить,Не согласен,Согласен,Частично согласен,1-2 года,возможно нет,3
u262,18.02.2012 13:38,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,не уверен,4
u266,02.02.2012 10:42,Частично согласен,Частично согласен,Не совсем согласен,Не согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Не согласен,Не согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,4
u267,17.02.2012 16:20,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u268,20.02.2012 9:48,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u27,17.02.2012 11:30,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,1-2 года,возможно да,4
u271,03.02.2012 11:53,Частично согласен,Согласен,Не согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,1-2 года,конечно да,4
u288,25.02.2012 13:52,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,возможно да,5
u299,16.02.2012 15:09,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u319,16.02.2012 16:42,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u33,01.02.2012 16:09,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,3-5 лет,возможно да,4
u44,04.02.2012 17:10,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,более 5 лет,конечно да,5
u45,20.02.2012 22:03,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u46,21.02.2012 14:39,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,более 5 лет,возможно да,4
u476,02.02.2012 9:42,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,3-5 лет,возможно да,4
u49,02.02.2012 13:05,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u491,01.02.2012 11:11,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u5,02.02.2012 2:53,Согласен,Не согласен,Частично согласен,Согласен,Не согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Не согласен,Частично согласен,Частично согласен,Согласен,2-3 года,конечно нет,3
u518,28.02.2012 12:38,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u52,27.02.2012 11:37,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u524,20.02.2012 20:26,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,возможно да,4
u526,15.02.2012 12:21,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,более 5 лет,конечно да,5
u530,16.02.2012 18:53,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,2-3 года,возможно да,4
u535,17.02.2012 13:59,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,более 5 лет,конечно да,5
u544,01.02.2012 11:06,Частично согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,более 5 лет,возможно да,5
u546,17.02.2012 13:16,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,более 5 лет,конечно да,4
u547,01.02.2012 15:03,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u553,25.02.2012 17:24,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u554,16.02.2012 13:54,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,2-3 года,конечно да,5
u559,01.02.2012 10:58,Не совсем согласен,Затрудняюсь ответить,Не согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,менее 1 года,возможно нет,4
u566,02.02.2012 10:32,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u567,21.02.2012 12:09,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Не согласен,Не согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,более 5 лет,конечно да,5
u581,21.02.2012 18:35,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,3-5 лет,конечно да,4
u583,04.02.2012 12:10,Согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u584,20.02.2012 17:34,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,возможно да,4
u585,18.02.2012 10:16,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u587,01.02.2012 12:24,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u588,19.02.2012 17:33,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,1-2 года,возможно да,4
u59,20.02.2012 16:23,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Согласен,Не совсем согласен,менее 1 года,конечно да,4
u595,23.02.2012 13:02,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u60,23.02.2012 18:38,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u617,27.02.2012 17:54,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,4
u618,01.02.2012 11:14,Не совсем согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Не согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,3-5 лет,конечно да,4
u619,28.02.2012 15:59,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,1-2 года,возможно да,4
u622,25.02.2012 17:28,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u628,18.02.2012 17:54,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,1-2 года,не уверен,3
